"task_id","family","active_source","publication_gate","notes"
"flowcyto-existing-gate-edit-revision","flowcyto","FlowCyto gate edit","repo_fixture_needs_public_pin","Repo FlowCyto FCS fixture; public flowCore recapture still pending"
"flowcyto-gating-qc-success","flowcyto","FlowCyto gating QC report","repo_fixture_needs_public_pin","Repo FlowCyto FCS fixture; public flowCore recapture still pending"
"flowcyto-gating-qc-stale-revision-failure","flowcyto","FlowCyto stale revision recovery","repo_fixture_needs_public_pin","Repo FlowCyto FCS fixture; recovery failure is real tool behavior"
"flowcyto-gating-qc-report-validation-failure","flowcyto","FlowCyto report validation recovery","repo_fixture_needs_public_pin","Repo FlowCyto FCS fixture; validation failure is real tool behavior"
"molecule-genbank-feature-annotation-001","molecule-biology","Lambda GenBank feature annotation","source_derived_captured","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-restriction-digest-001","molecule-biology","Lambda restriction digest","source_derived_captured","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-pcr-simulation-001","molecule-biology","Lambda PCR simulation","source_derived_captured","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-orf-translation-annotation","molecule-biology","Lambda ORF translation annotation","source_derived_captured","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-export-genbank-after-edit","molecule-biology","Lambda edit then GenBank export","source_derived_captured","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"protein-binding-site-annotation","protein-mcp","Protein ligand binding-site annotation","repo_fixture_needs_public_pin","Protein MCP hemoglobin CIF fixture; public source pin pending"
"protein-view-revision-safe-style","protein-mcp","Protein view revision-safe style update","repo_fixture_needs_public_pin","Protein MCP 1tii PDB fixture; public source pin pending"
"protein-ligand-contact-scene-repair","protein-mcp","Protein ligand scene repair","repo_fixture_needs_public_pin","Protein MCP hemoglobin CIF fixture; public source pin pending"
