"rank","task_id","source_url","source_family","expected_answer_class","why_selected","verifier_focus","known_risk","live_source_check"
"1","snakemake-workflow-current-basedir-001","https://github.com/snakemake/snakemake/issues/3796","snakemake","real_regression","Clear workflow bug with title-level failure, bug label, comments, code fences, trace signal, and repro signal.","Check diagnosis is workflow.current_basedir-triggered real_regression; require cited issue/repro evidence and next_action.type=fix.","May be easy if prompt includes the issue title; task spec should hide title summary and expose raw observations.","GitHub API resolved; open bug; body length 1209; 8 code-fence markers; 4 comments; trace/repro/resolution signals present."
"2","snakemake-loop-newline-002","https://github.com/snakemake/snakemake/issues/3918","snakemake","real_regression","Strong minimal-repro parse task with large issue body and many code fences; failure hinges on a small but concrete final-newline condition.","Check diagnosis identifies missing final newline in loop-defined rules; require evidence id for repro snippet and error output; next_action.type=fix.","No comment/resolution signal from live metadata, so verifier must rely on issue body only.","GitHub API resolved; open bug; body length 4538; 10 code-fence markers; 0 comments; trace/repro signals present."
"3","nextflow-no-output-return-004","https://github.com/nextflow-io/nextflow/issues/7095","nextflow","real_regression","Compact Nextflow process-output task with code-fenced repro; expected answer is specific and verifier-friendly.","Check diagnosis identifies assignment from a process with no outputs as the misleading-error trigger; require cited process/repro evidence; next_action.type=fix.","No comments or resolution signal; may need careful task wording to avoid pure issue-title extraction.","GitHub API resolved; open issue; body length 1340; 6 code-fence markers; 0 comments; trace/repro signals present."
"4","nextflow-typed-workflow-parse-001","https://github.com/nextflow-io/nextflow/issues/7050","nextflow","real_regression","Good parser/static typing bug with minimal repro, comments, and resolution signal; directly matches workflow-language environment tasks.","Check diagnosis identifies type annotation without def failing in workflow body; require evidence for parser error and typed workflow snippet; next_action.type=fix.","May overlap conceptually with other Nextflow parser tasks; keep because it is simpler than the include-scope candidate.","GitHub API resolved; open issue; body length 1634; 4 code-fence markers; 3 comments; trace/repro/resolution signals present."
"5","nfcore-snapshot-key-order-001","https://github.com/nf-core/tools/issues/3969","nf-core","ci_failure_root_cause","Strong nf-core workflow-tool lint failure with public bug label, concrete snapshot/key-order cause, and deterministic verifier target.","Check diagnosis is snapshot key ordering or stale snapshot persistence causing lint failure; require evidence id for lint failure and expected ordering; next_action.type=fix.","Could be too implementation-specific unless replay captures enough lint output and snapshot context.","GitHub API resolved; open bug; body length 2347; 2 code-fence markers; 0 comments; trace/repro/resolution signals present."
"6","bioconda-test-source-files-002","https://github.com/bioconda/bioconda-recipes/issues/52189","bioconda","ci_failure_root_cause","Bioinformatics packaging task with comments, repro signal, and a file-presence/root-cause verifier shape.","Check diagnosis identifies missing test.source_files during container test; require evidence for missing file and test context; next_action.type=fix or ask_for_missing_data depending captured evidence.","Need capture exact recipe/test snippets so verifier does not rely only on prose.","GitHub API resolved; open issue; body length 1366; 2 code-fence markers; 6 comments; trace/repro/resolution signals present."
"7","bioconda-raw-github-rate-limit-001","https://github.com/bioconda/bioconda-recipes/issues/56282","bioconda","ci_failure_root_cause","Recent bioinformatics CI infrastructure task with clear raw.githubusercontent.com rate-limit root cause and comments; useful for transient external-service failure class.","Check diagnosis is raw.githubusercontent.com rate limiting causing sporadic CI failure; require evidence id for rate-limit text and failing download; next_action.type=retry_or_rerun or fix based on captured policy.","Live regex did not find a repro signal, so task needs issue/comment capture with the key rate-limit evidence.","GitHub API resolved; open bug; bioconda-infrastructure label; body length 2863; 2 code-fence markers; 6 comments; trace/resolution signals present."
"8","nfcore-venv-merge-marker-002","https://github.com/nf-core/tools/issues/3420","nf-core","real_regression","Strong false-positive lint triage task with long body, comments, and concrete .venv/merge-marker mechanism; good test of evidence-sensitive diagnosis.","Check diagnosis identifies .venv directory causing false positive merge-marker lint failures; require evidence for .venv path and lint output; next_action.type=fix.","No resolution signal from live metadata; may need comments captured to make expected action clear.","GitHub API resolved; open bug; body length 4629; 4 code-fence markers; 5 comments; trace/repro signals present."
"9","snakemake-github-rate-limit-004","https://github.com/snakemake/snakemake/issues/3580","snakemake","ci_failure_root_cause","Clear workflow/remote-source CI failure with explicit GitHub 429 rate-limit signal and workflow.source_path context.","Check diagnosis identifies GitHub 429/rate limit rather than generic rule failure; require evidence id for 429 text and source_path context; next_action.type=retry_or_rerun or fix depending captured evidence.","Stale label and remote-service aspect can make the correct next_action ambiguous; capture issue comments before freezing verifier.","GitHub API resolved; open bug/stale; body length 4941; 4 code-fence markers; 2 comments; trace/repro/resolution signals present."
"10","galaxy-skip-flakey-transient-001","https://github.com/galaxyproject/galaxy/issues/21506","galaxy","flaky_test","Only selected flaky_test-class task with enough body text and clear testing-policy target; keeps the seed split from being only regression/root-cause tasks.","Check diagnosis is flaky_test/transient_failure skip-policy issue; require evidence for skip_flakey_fails and @transient_failure; next_action.type=mark_flaky or fix depending captured policy.","No repro signal from live metadata; include mainly for answer-class diversity, and replace if baseline/verifier capture is weak.","GitHub API resolved; open kind/bug+kind/enhancement+area/testing; body length 1477; 2 code-fence markers; 0 comments; trace/resolution signals present."
